noise,alpha,labelling,seed,balanced_accuracy,macro_f1,pr_auc
el_nino,1.0,binary,7,0.5480290129296752,0.38733705772811916,0.4269795016630097
el_nino,1.0,signed,7,0.5732891832229581,0.40672414401486723,
el_nino,1.0,binary,8,0.6041402396053559,0.3868312757201646,0.2727721421815828
el_nino,1.0,signed,8,0.46886447317158436,0.3535204770944343,
el_nino,1.0,binary,9,0.5504002463054187,0.3855932203389831,0.41404414271451995
el_nino,1.0,signed,9,0.47563578627011466,0.3872067248934104,
el_nino,2.0,binary,0,0.5199979951884522,0.3326226012793177,0.2523686210815279
el_nino,2.0,signed,0,0.4482284956422888,0.35330434058946664,
el_nino,2.0,binary,1,0.4708099659832674,0.3572567783094099,0.22582992741587524
el_nino,2.0,signed,1,0.36740703125296065,0.23390758639527956,
el_nino,2.0,binary,2,0.4957073252688172,0.27298050139275765,0.28407174456570006
el_nino,2.0,signed,2,0.3854070660522273,0.35853582705952164,
el_nino,2.0,binary,3,0.49291625053502636,0.38434163701067614,0.276209635284775
el_nino,2.0,signed,3,0.365756555067704,0.29856677139285837,
el_nino,2.0,binary,4,0.4124614791987673,0.26506024096385544,0.15374582203900605
el_nino,2.0,signed,4,0.25321213778020774,0.1761376382094797,
el_nino,2.0,binary,5,0.503248003922118,0.3137254901960784,0.2010347641291118
el_nino,2.0,signed,5,0.398609256569949,0.28607695264642974,
el_nino,2.0,binary,6,0.5765618958183727,0.4768211920529801,0.47478379498510714
el_nino,2.0,signed,6,0.3959348412251417,0.3208253865387221,
el_nino,2.0,binary,7,0.4729659413434248,0.32645403377110693,0.2759411512133226
el_nino,2.0,signed,7,0.4317788815305372,0.3202073954383722,
el_nino,2.0,binary,8,0.49905743481324877,0.3258064516129032,0.24088271531078922
el_nino,2.0,signed,8,0.3908590784059651,0.220542413420136,
el_nino,2.0,binary,9,0.5151169950738916,0.3395348837209302,0.255112715274127
el_nino,2.0,signed,9,0.44661194941045695,0.3872828812063231,
el_nino,3.142,binary,0,0.4744219460037423,0.24788732394366197,0.19305486482275683
el_nino,3.142,signed,0,0.3404483447586896,0.33009544250612327,
el_nino,3.142,binary,1,0.46583770034629646,0.36227544910179643,0.18958518544454447
el_nino,3.142,signed,1,0.3651892639345222,0.19973156478419637,
el_nino,3.142,binary,2,0.4484206989247312,0.2769857433808554,0.1755132545130782
el_nino,3.142,signed,2,0.29845110087045573,0.267482372915268,
el_nino,3.142,binary,3,0.5609787416179198,0.4225941422594142,0.3354825063433976
el_nino,3.142,signed,3,0.42113050846270744,0.38027364555483384,
el_nino,3.142,binary,4,0.3890163188121586,0.18446601941747573,0.1570145528787978
el_nino,3.142,signed,4,0.19767176963732458,0.20382517281742088,
el_nino,3.142,binary,5,0.5206348928421347,0.3356643356643357,0.2216431659374821
el_nino,3.142,signed,5,0.3017185505014571,0.21002414370964848,
el_nino,3.142,binary,6,0.561315804010385,0.47619047619047616,0.5003720883174552
el_nino,3.142,signed,6,0.46646978638652853,0.32675148745187654,
el_nino,3.142,binary,7,0.4705692210659098,0.3378839590443686,0.2128118216865081
el_nino,3.142,signed,7,0.4057763061074319,0.2733727822936456,
el_nino,3.142,binary,8,0.5453224101479915,0.3523489932885906,0.22976354865289625
el_nino,3.142,signed,8,0.4135575429907634,0.2509037653556964,
el_nino,3.142,binary,9,0.48054956896551726,0.2749326145552561,0.22954875519933265
el_nino,3.142,signed,9,0.3938381011608623,0.37834063611403906,
